Vernier Format 2
Meritev2_3.cmbl 10.10.2019 15:13:51 ,
Latest
Time	GateState	kot	Velocity	Acceleration
t	State	d	v	acc
s		rad	rad/s	rad/s²

0,45568	1	0	 	 
0,4783796	0	 	 	 
0,9808804	1	0,785398163397	1,94716326721	1,72024846457
0,9930796	0	 	 	 
1,330302	1	1,57079632679	2,54760306812	1,71651561015
1,3411848	0	 	 	 
1,6118804	1	2,35619449019	3,01772351023	1,62266411469
1,6218836	0	 	 	 
1,856106	1	3,14159265359	3,43043623103	1,75710214079
1,8633796	0	 	 	 
2,0730072	1	3,92699081699	3,7964773809	1,61808573157
2,0797172	0	 	 	 
2,2714876	1	4,71238898038	4,12501273179	1,69242100752
2,2780036	0	 	 	 
2,4549796	1	5,49778714378	4,42220947447	1,54692177235
2,4606016	0	 	 	 
2,627384	1	6,28318530718	4,70288670124	1,70911144683
2,6325796	0	 	 	 
2,7896056	1	7,06858347058	4,98507384273	1,76992145004
2,794398	0	 	 	 
2,9429796	1	7,85398163397	5,24945083851	1,67755981508
2,9482796	0	 	 	 
3,0891796	1	8,63937979737	5,47088966888	1,35169915021
3,0947796	0	 	 	 
3,2302796	1	9,42477796077	5,70284175288	1,93606958123
3,234614	0	 	 	 
3,3649228	1	10,2101761242	5,94021964661	1,58995911878
3,3692148	0	 	 	 
3,4948796	1	10,9955742876	6,1604599983	1,79948032099
3,4992052	0	 	 	 
3,6200804	1	11,780972451	6,35918496153	1,37501957405
3,6240156	0	 	 	 
3,74198	1	12,5663706144	6,55292134041	1,80360248674
3,74568	0	 	 	 
3,8599204	1	13,3517687778	6,76515647166	1,79542093939
3,8634804	0	 	 	 
3,9742796	1	14,1371669412	6,96257095966	1,65711262153
3,97828	0	 	 	 
4,0856076	1	14,9225651046	7,11511919985	1,08340620921
4,0898816	0	 	 	 
4,1950796	1	15,7079632679	7,29021016446	2,1154202415
4,1984796	0	 	 	 
4,3011796	1	16,4933614313	7,48763950887	1,60615081246
4,3045796	0	 	 	 
4,404918	1	17,2787595947	7,66464276762	1,80634174099
4,4084772	0	 	 	 
4,50618	1	18,0641577581	7,82537699427	1,36827907726
4,5093796	0	 	 	 
4,60568	1	18,8495559215	7,98336158021	1,80729048925
4,6087136	0	 	 	 
4,7029876	1	19,6349540849	8,16196929787	1,86370165649
4,705916	0	 	 	 
4,7981796	1	20,4203522483	8,32596003709	1,58177147626
4,8014964	0	 	 	 
4,8916804	1	21,2057504117	8,44079637022	0,874599659042
4,89528	0	 	 	 
4,984284	1	21,9911485751	8,58533640583	2,24709400319
4,9871816	0	 	 	 
5,0746956	1	22,7765467385	8,75715618055	1,55374072861
5,0776084	0	 	 	 
5,1636796	1	23,5619449019	8,91233210506	1,93398570575
5,1666812	0	 	 	 
5,2509776	1	24,3473430653	9,05316965761	1,29260717263
5,2536972	0	 	 	 
5,3372008	1	25,1327412287	9,18705795564	1,8130140066
5,3398796	0	 	 	 
5,4219812	1	25,9181393921	9,34624180465	1,94219000308
5,4245796	0	 	 	 
5,5052936	1	26,7035375555	9,48938509114	1,49411207169
5,5082244	0	 	 	 
5,5875272	1	27,4889357189	9,5772133729	0,641955953048
5,5907044	0	 	 	 
5,66931	1	28,2743338823	9,70104838392	2,38643170344
5,6718796	0	 	 	 
5,7494796	1	29,0597320457	9,86153278565	1,61719066047
5,7520796	0	 	 	 
5,8286088	1	29,8451302091	10,0059893658	2,03396669206
5,8312968	0	 	 	 
5,9064852	1	30,6305283725	10,1277822376	1,09388389532
5,90898	0	 	 	 
5,983712	1	31,4159265359	10,2412221392	1,84395378893
5,9860848	0	 	 	 
6,0598796	1	32,2013246993	10,3923311609	2,12384936244
6,0621796	0	 	 	 
6,1348796	1	32,9867228627	10,5253602879	1,42359402409
6,1375048	0	 	 	 
6,2091264	1	33,7721210261	10,5918247553	0,3667718214
6,2119984	0	 	 	 
6,2831828	1	34,5575191895	10,6979450877	2,49916096586
6,2855088	0	 	 	 
6,3559796	1	35,3429173529	10,8489070681	1,64832849475
6,3582908	0	 	 	 
6,42798	1	36,1283155163	10,9856658102	2,15050434863
6,430392	0	 	 	 
6,4989796	1	36,9137136797	11,098924998	1,03991328153
6,5012084	0	 	 	 
6,56951	1	37,6991118431	11,2029138194	1,90885267892
6,5716808	0	 	 	 
6,6392028	1	38,4845100065	11,3414765784	2,06753395032
6,6413112	0	 	 	 
6,7080212	1	39,2699081699	11,4592514205	1,35523792708
6,7104796	0	 	 	 
6,776284	1	40,0553063333	11,5111453393	0,165177843337
6,7789272	0	 	 	 
6,84448	1	40,8407044967	11,6115251463	2,77868417132
6,8466176	0	 	 	 
6,9115808	1	41,6261026601	11,7393841171	1,03226803097
6,9137816	0	 	 	 
6,978288	1	42,4115008235	11,7926837588	0,565749626297
6,9805816	0	 	 	 
7,0447824	1	43,1968989869	11,784607468	-0,808666047383
7,046908	0	 	 	 
7,1115816	1	43,9822971503	11,7663481239	0,261972551993
7,1136824	0	 	 	 
7,1782816	1	44,7676953137	11,7898279951	0,44207156333
7,1802928	0	 	 	 
7,2448152	1	45,5530934771	11,790391586	-0,425130022537
7,2471824	0	 	 	 
7,3115088	1	46,3384916404	11,7228509705	-1,6002701804
7,3141056	0	 	 	 
7,3788152	1	47,1238898038	11,7046883784	1,06057136661
7,380984	0	 	 	 
7,4457136	1	47,9092879672	11,7338561007	-0,188570772087
7,447888	0	 	 	 
7,512684	1	48,6946861306	11,7475365033	0,597121494306
7,5149848	0	 	 	 
7,5794272	1	49,480084294	11,7398032427	-0,828853285099
7,5815848	0	 	 	 
7,6464864	1	50,2654824574	11,7172587179	0,156476495344
7,6485856	0	 	 	 
7,7134856	1	51,0508806208	11,7400050988	0,522528057121
7,7154856	0	 	 	 
7,7802856	1	51,8362787842	11,7472054654	-0,306948219044
7,7826208	0	 	 	 
7,8472024	1	52,6216769476	11,6792884096	-1,72294728642
7,849808	0	 	 	 
7,9147864	1	53,407075111	11,6601096626	1,15539440283
7,9169024	0	 	 	 
7,9819208	1	54,1924732744	11,687564243	-0,33749536881
7,9841032	0	 	 	 
8,0491856	1	54,9778714378	11,699192047	0,683227578497
8,0514864	0	 	 	 
8,1161872	1	55,7632696012	11,6960822666	-0,776054626123
8,1183024	0	 	 	 
8,183488	1	56,5486677646	11,6785177469	0,25408401801
8,1855888	0	 	 	 
8,2506904	1	57,334065928	11,6961195369	0,269760072139
8,252736	0	 	 	 
8,3177888	1	58,1194640914	11,696258453	-0,265619405623
8,3201888	0	 	 	 
8,3849896	1	58,9048622548	11,6353083346	-1,54835061723
8,3875888	0	 	 	 
8,4527968	1	59,6902604182	11,6174211406	1,02076080289
8,4549896	0	 	 	 
8,5202024	1	60,4756585816	11,6447836831	-0,208883375768
8,5223936	0	 	 	 
8,5876896	1	61,261056745	11,6538737494	0,478269756689
8,5899904	0	 	 	 
8,6549904	1	62,0464549084	11,6491333049	-0,619143105969
8,6571048	0	 	 	 
8,7225328	1	62,8318530718	11,6345700239	0,187909362725
8,7246248	0	 	 	 
