"Time","GateState","kot","Velocity","Acceleration"
0.171687,0,0.000,,
0.179784,1,,,
0.239884,0,0.524,9.247,46.03
0.245318,1,,,
0.290205,0,1.047,11.494,43.26
0.294517,1,,,
0.332408,0,1.571,13.363,45.34
0.336184,1,,,
0.369284,0,2.094,15.026,44.85
0.372684,1,,,
0.402484,0,2.618,16.468,42.03
0.405432,1,,,
0.433084,0,3.142,17.765,42.71
0.435884,1,,,
0.461582,0,3.665,19.043,46.97
0.464225,1,,,
0.488204,0,4.189,20.274,45.51
0.490684,1,,,
0.513322,0,4.712,21.360,41.01
0.515716,1,,,
0.537284,0,5.236,22.475,52.05
0.539520,1,,,
0.559984,0,5.760,23.552,42.80
0.562121,1,,,
0.581784,0,6.283,24.525,46.48
0.583821,1,,,
0.602718,0,6.807,25.475,44.31
0.604724,1,,,
0.622916,0,7.330,26.266,34.00
0.624819,1,,,
0.642600,0,7.854,26.778,17.98
0.644484,1,,,
0.662027,0,8.378,26.983,3.15
0.663915,1,,,
0.681410,0,8.901,26.930,-8.63
0.683284,1,,,
0.700914,0,9.425,26.853,0.71
0.702784,1,,,
0.720408,0,9.948,26.856,-0.37
0.722320,1,,,
0.739907,0,10.472,26.868,1.58
0.741784,1,,,
0.759384,0,10.996,26.867,-1.64
0.761284,1,,,
0.778884,0,11.519,26.851,0.00
0.780785,1,,,
0.798384,0,12.043,26.853,0.14
0.800284,1,,,
0.817882,0,12.566,26.851,-0.28
0.819784,1,,,
0.837384,0,13.090,26.850,0.14
0.839284,1,,,
0.856884,0,13.614,26.755,-9.86
0.858727,1,,,
0.876525,0,14.137,26.646,-1.21
0.878418,1,,,
0.896184,0,14.661,26.674,4.07
0.898084,1,,,
0.915784,0,15.184,26.632,-8.43
0.917684,1,,,
0.935506,0,15.708,26.547,-0.16
0.937384,1,,,
0.955231,0,16.232,26.526,-1.91
0.957184,1,,,
0.974984,0,16.755,26.580,7.29
0.976884,1,,,
0.994630,0,17.279,26.574,-7.83
0.996584,1,,,
1.014391,0,17.802,26.520,2.31
1.016321,1,,,
1.034118,0,18.326,26.516,-2.67
1.036084,1,,,
1.053884,0,18.850,26.467,-2.33
1.055786,1,,,
1.073684,0,19.373,26.488,4.42
1.075589,1,,,
1.093419,0,19.897,26.380,-15.34
1.095318,1,,,
1.113384,0,20.420,26.269,4.26
1.115284,1,,,
1.133284,0,20.944,26.354,4.30
1.135190,1,,,
1.153119,0,21.468,26.285,-11.26
1.155015,1,,,
1.173125,0,21.991,26.185,1.20
1.175017,1,,,
1.193112,0,22.515,26.196,-0.03
1.195084,1,,,
1.213100,0,23.038,26.198,0.18
1.215020,1,,,
1.233084,0,23.562,26.190,-0.97
1.235006,1,,,
1.253084,0,24.086,26.180,0.00
1.255030,1,,,
1.273084,0,24.609,26.218,3.76
1.274984,1,,,
1.293026,0,25.133,26.180,-7.54
1.294984,1,,,
1.313084,0,25.656,26.142,3.70
1.315009,1,,,
1.333084,0,26.180,26.089,-9.02
1.334984,1,,,
1.353224,0,26.704,25.985,-1.28
1.355184,1,,,
1.373384,0,27.227,26.011,3.85
1.375329,1,,,
1.393484,0,27.751,25.963,-8.58
1.395400,1,,,
1.413719,0,28.274,25.857,-1.92
1.415684,1,,,
1.433984,0,28.798,25.879,4.10
1.435984,1,,,
1.454184,0,29.322,25.918,-0.23
1.456122,1,,,
1.474387,0,29.845,25.857,-5.88
1.476384,1,,,
1.494684,0,30.369,25.859,6.13
1.496620,1,,,
1.514884,0,30.892,25.919,-0.23
1.516802,1,,,
1.535087,0,31.416,25.857,-5.93
1.537084,1,,,
1.555384,0,31.940,25.849,5.12
1.557326,1,,,
1.575600,0,32.463,25.769,-13.01
1.577584,1,,,
1.596024,0,32.987,25.658,2.19
1.597992,1,,,
1.616413,0,33.510,25.689,0.82
1.618404,1,,,
1.636789,0,34.034,25.622,-7.44
1.638728,1,,,
1.657286,0,34.558,25.544,-0.12
1.659227,1,,,
1.677784,0,35.081,25.542,-0.05
1.679784,1,,,
1.698284,0,35.605,25.591,4.74
1.700220,1,,,
1.718706,0,36.128,25.584,-5.35
1.720711,1,,,
1.739216,0,36.652,25.555,2.51
1.741223,1,,,
1.759684,0,37.176,25.561,-1.90
1.761684,1,,,
1.780184,0,37.699,25.526,-1.55
1.782184,1,,,
1.800709,0,38.223,25.517,0.68
1.802717,1,,,
1.821223,0,38.746,25.420,-10.09
1.823194,1,,,
1.841905,0,39.270,25.319,0.24
1.843898,1,,,
1.862584,0,39.794,25.368,4.53
1.864584,1,,,
1.883186,0,40.317,25.296,-11.52
1.885184,1,,,
1.903984,0,40.841,25.227,4.87
1.905914,1,,,
1.924698,0,41.364,25.234,-4.17
1.926784,1,,,
1.945484,0,41.888,25.243,5.02
1.947484,1,,,
1.966184,0,42.412,25.234,-5.88
1.968189,1,,,
1.986984,0,42.935,25.233,5.81
1.988984,1,,,
2.007685,0,43.459,25.236,-5.56
2.009702,1,,,
2.028481,0,43.982,25.210,3.13
2.030484,1,,,
2.049224,0,44.506,25.226,-1.62
2.051284,1,,,
2.069994,0,45.029,25.078,-12.68
2.071988,1,,,
2.090984,0,45.553,24.999,5.17
2.092984,1,,,
2.111884,0,46.077,25.053,-0.05
2.113901,1,,,
2.132784,0,46.600,24.993,-5.67
2.134784,1,,,
2.153784,0,47.124,24.926,-0.68
2.155784,1,,,
2.174796,0,47.647,24.915,-0.38
2.176884,1,,,
2.195815,0,48.171,24.933,2.13
2.197884,1,,,
2.216796,0,48.695,24.893,-5.99
2.218884,1,,,
2.237884,0,49.218,24.882,4.92
2.239908,1,,,
2.258884,0,49.742,24.933,0.00
2.260884,1,,,
2.279884,0,50.265,24.874,-5.66
2.281915,1,,,
2.300984,0,50.789,24.874,5.68
2.302998,1,,,
2.321984,0,51.313,24.801,-12.62
2.323995,1,,,
2.343210,0,51.836,24.688,1.95
2.345284,1,,,
2.364401,0,52.360,24.714,0.46
2.366484,1,,,
2.385584,0,52.883,24.650,-6.45
2.387597,1,,,
2.406884,0,53.407,24.582,0.04
2.408905,1,,,
2.428184,0,53.931,24.582,-0.02
2.430284,1,,,
2.449484,0,54.454,24.614,2.98
2.451517,1,,,
2.470729,0,54.978,24.582,-5.94
2.472811,1,,,
2.492084,0,55.501,24.590,6.68
2.494184,1,,,
2.513315,0,56.025,24.583,-7.41
2.515384,1,,,
2.534684,0,56.549,24.543,3.69
2.536715,1,,,
2.555984,0,57.072,24.569,-1.25
2.558084,1,,,
2.577307,0,57.596,24.453,-9.60
2.579384,1,,,
2.598810,0,58.119,24.367,1.56
2.600885,1,,,
2.620284,0,58.643,24.368,-1.41
2.622384,1,,,
2.641784,0,59.167,24.330,-2.16
2.643784,1,,,
2.663326,0,59.690,24.283,-2.17
2.665384,1,,,
2.684909,0,60.214,24.263,0.29
2.687023,1,,,
2.706486,0,60.737,24.287,2.01
