"Time","GateState","kot","Velocity","Acceleration"
0.043194,0,0.000,,
0.058284,1,,,
0.193986,0,0.524,3.654,2.40
0.207684,1,,,
0.331112,0,1.047,3.956,2.01
0.344000,1,,,
0.459307,0,1.571,4.191,1.66
0.471084,1,,,
0.581284,0,2.094,4.384,1.50
0.592584,1,,,
0.698384,0,2.618,4.541,1.19
0.709617,1,,,
0.812001,0,3.142,4.663,0.96
0.822784,1,,,
0.923021,0,3.665,4.737,0.37
0.933787,1,,,
1.033084,0,4.189,4.771,0.25
1.043784,1,,,
1.142513,0,4.712,4.772,-0.23
1.153184,1,,,
1.252516,0,5.236,4.751,-0.16
1.263196,1,,,
1.362927,0,5.760,4.734,-0.15
1.373731,1,,,
1.473723,0,6.283,4.711,-0.26
1.484383,1,,,
1.585200,0,6.807,4.713,0.30
1.595884,1,,,
1.695901,0,7.330,4.763,0.60
1.706684,1,,,
1.805084,0,7.854,4.819,0.44
1.815384,1,,,
1.913196,0,8.378,4.873,0.56
1.923386,1,,,
2.019984,0,8.901,4.931,0.52
2.030384,1,,,
2.125584,0,9.425,4.982,0.45
2.135683,1,,,
2.230187,0,9.948,4.996,-0.19
2.240412,1,,,
2.335212,0,10.472,4.974,-0.22
2.345498,1,,,
2.440722,0,10.996,4.938,-0.46
2.451000,1,,,
2.547284,0,11.519,4.888,-0.48
2.557684,1,,,
2.654984,0,12.043,4.837,-0.45
2.665584,1,,,
2.763784,0,12.566,4.782,-0.56
2.774215,1,,,
2.873982,0,13.090,4.760,0.16
2.884504,1,,,
2.983784,0,13.614,4.788,0.36
2.994484,1,,,
3.092684,0,14.137,4.817,0.16
3.102984,1,,,
3.201184,0,14.661,4.862,0.66
3.211384,1,,,
3.308108,0,15.184,4.925,0.53
3.318512,1,,,
3.413828,0,15.708,4.970,0.33
3.423930,1,,,
3.518804,0,16.232,4.974,-0.27
3.529084,1,,,
3.624384,0,16.755,4.952,-0.14
3.634686,1,,,
3.730284,0,17.279,4.912,-0.61
3.740596,1,,,
3.837584,0,17.802,4.842,-0.70
3.848084,1,,,
3.946584,0,18.326,4.780,-0.44
3.957288,1,,,
4.056684,0,18.850,4.724,-0.58
4.067284,1,,,
4.168284,0,19.373,4.702,0.19
4.178984,1,,,
4.279384,0,19.897,4.738,0.46
4.290184,1,,,
4.389299,0,20.420,4.782,0.33
4.399684,1,,,
4.498384,0,20.944,4.840,0.74
4.508589,1,,,
4.605684,0,21.468,4.908,0.52
4.616087,1,,,
4.711781,0,21.991,4.953,0.33
4.721884,1,,,
4.817127,0,22.515,4.958,-0.23
4.827427,1,,,
4.922984,0,23.038,4.931,-0.28
4.933320,1,,,
5.029484,0,23.562,4.880,-0.68
5.039884,1,,,
5.137584,0,24.086,4.815,-0.53
5.148184,1,,,
5.246984,0,24.609,4.768,-0.33
5.257684,1,,,
5.357223,0,25.133,4.718,-0.58
5.367884,1,,,
5.468984,0,25.656,4.699,0.24
5.479684,1,,,
5.580105,0,26.180,4.745,0.59
5.590890,1,,,
5.689714,0,26.704,4.802,0.46
5.700010,1,,,
5.798184,0,27.227,4.856,0.53
5.808384,1,,,
5.905384,0,27.751,4.887,0.04
5.915814,1,,,
6.012484,0,28.274,4.902,0.24
6.022723,1,,,
6.119018,0,28.798,4.898,-0.32
6.129484,1,,,
6.226305,0,29.322,4.865,-0.29
6.236820,1,,,
6.334284,0,29.845,4.824,-0.46
6.344784,1,,,
6.443384,0,30.369,4.771,-0.52
6.454084,1,,,
6.553799,0,30.892,4.701,-0.75
6.564630,1,,,
6.666186,0,31.416,4.467,-3.42
6.677284,1,,,
6.789184,0,31.940,3.806,-7.34
6.802184,1,,,
6.952482,0,32.463,2.741,-5.70
6.972784,1,,,
7.215284,0,32.987,1.652,-2.59
7.249402,1,,,
7.809309,0,33.510,,
7.935284,1,,,
