"Time","GateState","kot","Velocity","Acceleration"
0.060983,0,0.000,,
0.065183,1,,,
0.102782,0,0.524,13.512,47.18
0.106507,1,,,
0.139214,0,1.047,15.344,53.38
0.142583,1,,,
0.171522,0,1.571,16.834,38.84
0.174482,1,,,
0.201583,0,2.094,17.775,23.74
0.204315,1,,,
0.230482,0,2.618,18.246,8.88
0.233282,1,,,
0.258981,0,3.142,18.455,5.78
0.261683,1,,,
0.287228,0,3.665,18.527,-0.71
0.289997,1,,,
0.315505,0,4.189,18.605,6.27
0.318283,1,,,
0.343516,0,4.712,18.864,12.18
0.346220,1,,,
0.371028,0,5.236,19.490,33.39
0.373682,1,,,
0.397302,0,5.760,20.669,56.35
0.399783,1,,,
0.421815,0,6.283,22.087,59.31
0.424083,1,,,
0.444811,0,6.807,23.485,62.32
0.446982,1,,,
0.466483,0,7.330,24.596,40.19
0.468582,1,,,
0.487413,0,7.854,25.109,8.85
0.489390,1,,,
0.508190,0,8.378,25.252,4.93
0.510182,1,,,
0.528882,0,8.901,25.299,-0.45
0.530902,1,,,
0.549583,0,9.425,25.356,5.95
0.551523,1,,,
0.570183,0,9.948,25.390,-2.58
0.572183,1,,,
0.590827,0,10.472,25.356,-0.76
0.592883,1,,,
0.611483,0,10.996,25.368,1.98
0.613482,1,,,
0.632106,0,11.519,25.333,-5.46
0.634118,1,,,
0.652822,0,12.043,25.301,2.39
0.654884,1,,,
0.673496,0,12.566,25.193,-12.83
0.675483,1,,,
0.694391,0,13.090,25.121,5.99
0.696383,1,,,
0.715182,0,13.614,25.178,-0.51
0.717183,1,,,
0.735982,0,14.137,25.112,-5.82
0.737920,1,,,
0.756883,0,14.661,25.053,0.09
0.758882,1,,,
0.777782,0,15.184,25.053,-0.05
0.779824,1,,,
0.798682,0,15.708,25.053,0.00
0.800688,1,,,
0.819582,0,16.232,25.046,-0.60
0.821603,1,,,
0.840493,0,16.755,25.047,0.69
0.842582,1,,,
0.861391,0,17.279,25.048,-0.66
0.863420,1,,,
0.882301,0,17.802,24.998,-4.08
0.884384,1,,,
0.903283,0,18.326,24.999,4.22
0.905297,1,,,
0.924190,0,18.850,24.927,-11.14
0.926206,1,,,
0.945295,0,19.373,24.820,0.98
0.947329,1,,,
0.966382,0,19.897,24.822,-0.76
0.968482,1,,,
0.987483,0,20.420,24.756,-5.49
0.989483,1,,,
1.008683,0,20.944,24.736,3.60
1.010682,1,,,
1.029818,0,21.468,24.738,-3.40
1.031894,1,,,
1.051014,0,21.991,24.719,1.56
1.053083,1,,,
1.072182,0,22.515,24.717,-1.78
1.074281,1,,,
1.093383,0,23.038,24.730,3.09
1.095483,1,,,
1.114527,0,23.562,24.730,-3.09
1.116585,1,,,
1.135728,0,24.086,24.666,-3.00
1.137790,1,,,
1.156983,0,24.609,24.666,3.02
1.159030,1,,,
1.178183,0,25.133,24.583,-10.82
1.180216,1,,,
1.199582,0,25.656,24.503,3.33
1.201628,1,,,
1.220920,0,26.180,24.524,-1.36
1.223006,1,,,
1.242283,0,26.704,24.432,-7.28
1.244292,1,,,
1.263782,0,27.227,24.404,4.62
1.265782,1,,,
1.285195,0,27.751,24.410,-4.01
1.287298,1,,,
1.306683,0,28.274,24.417,4.69
1.308698,1,,,
1.328082,0,28.798,24.411,-5.33
1.330183,1,,,
1.349582,0,29.322,24.405,4.84
1.351683,1,,,
1.370991,0,29.845,24.410,-4.39
1.373083,1,,,
1.392483,0,30.369,24.358,-0.42
1.394583,1,,,
1.413982,0,30.892,24.353,-0.06
1.416083,1,,,
1.435483,0,31.416,24.276,-7.14
1.437515,1,,,
1.457121,0,31.940,24.185,-1.26
1.459206,1,,,
1.478783,0,32.463,24.206,3.21
1.480882,1,,,
1.500383,0,32.987,24.170,-6.53
1.502428,1,,,
1.522110,0,33.510,24.074,-2.34
1.524182,1,,,
1.543882,0,34.034,24.082,3.12
1.545987,1,,,
1.565594,0,34.558,24.118,0.16
1.567683,1,,,
1.587302,0,35.081,24.080,-3.65
1.589482,1,,,
1.609082,0,35.605,24.077,3.38
1.611212,1,,,
1.630796,0,36.128,24.073,-3.72
1.632911,1,,,
1.652583,0,36.652,24.026,-0.65
1.654682,1,,,
1.674382,0,37.176,24.050,2.84
1.676483,1,,,
1.696126,0,37.699,23.962,-10.92
1.698218,1,,,
1.718087,0,38.223,23.860,1.66
1.720201,1,,,
1.740015,0,38.746,23.888,0.84
1.742183,1,,,
1.761926,0,39.270,23.818,-7.21
1.764011,1,,,
1.783983,0,39.794,23.762,2.19
1.786083,1,,,
1.805995,0,40.317,23.746,-3.67
1.808183,1,,,
1.828083,0,40.841,23.753,4.28
1.830183,1,,,
1.850083,0,41.364,23.790,-0.88
1.852198,1,,,
1.872101,0,41.888,23.784,0.29
1.874283,1,,,
